Sample,Class,hsa-let-7a-3p,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7d-3p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-1,hsa-miR-7-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-15b-3p,hsa-miR-15b-5p,hsa-miR-16-2-3p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-21-5p,hsa-miR-22-3p,hsa-miR-22-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-24-2-5p,hsa-miR-24-3p,hsa-miR-25-3p,hsa-miR-26a-5p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-28-3p,hsa-miR-28-5p,hsa-miR-29a-3p,hsa-miR-30a-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30e-3p,hsa-miR-30e-5p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-98-5p,hsa-miR-99a-5p,hsa-miR-99b-5p,hsa-miR-100-5p,hsa-miR-101-3p,hsa-miR-103a-3p,hsa-miR-106b-3p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-122-5p,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-128-3p,hsa-miR-130a-3p,hsa-miR-130b-5p,hsa-miR-134-5p,hsa-miR-139-3p,hsa-miR-139-5p,hsa-miR-140-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-142-5p,hsa-miR-143-3p,hsa-miR-144-3p,hsa-miR-144-5p,hsa-miR-145-3p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-148a-3p,hsa-miR-148a-5p,hsa-miR-148b-3p,hsa-miR-150-5p,hsa-miR-151a-3p,hsa-miR-152-3p,hsa-miR-155-5p,hsa-miR-181a-2-3p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-185-3p,hsa-miR-185-5p,hsa-miR-186-5p,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-193a-5p,hsa-miR-194-5p,hsa-miR-197-3p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-199b-3p,hsa-miR-200a-3p,hsa-miR-200c-3p,hsa-miR-203a,hsa-miR-215-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-223-5p,hsa-miR-224-5p,hsa-miR-320a,hsa-miR-320b,hsa-miR-320c,hsa-miR-320d,hsa-miR-323a-3p,hsa-miR-323b-3p,hsa-miR-328-3p,hsa-miR-330-3p,hsa-miR-335-3p,hsa-miR-335-5p,hsa-miR-338-5p,hsa-miR-339-3p,hsa-miR-340-3p,hsa-miR-340-5p,hsa-miR-342-5p,hsa-miR-345-5p,hsa-miR-361-3p,hsa-miR-361-5p,hsa-miR-363-3p,hsa-miR-370-3p,hsa-miR-374a-5p,hsa-miR-375,hsa-miR-378a-3p,hsa-miR-378c,hsa-miR-379-5p,hsa-miR-381-3p,hsa-miR-382-5p,hsa-miR-409-3p,hsa-miR-421,hsa-miR-423-3p,hsa-miR-423-5p,hsa-miR-424-3p,hsa-miR-425-3p,hsa-miR-425-5p,hsa-miR-432-5p,hsa-miR-450a-5p,hsa-miR-450b-5p,hsa-miR-451a,hsa-miR-483-5p,hsa-miR-484,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-493-5p,hsa-miR-500a-3p,hsa-miR-501-3p,hsa-miR-502-3p,hsa-miR-503-5p,hsa-miR-532-5p,hsa-miR-543,hsa-miR-550a-5p,hsa-miR-574-5p,hsa-miR-576-3p,hsa-miR-584-5p,hsa-miR-589-5p,hsa-miR-625-3p,hsa-miR-629-5p,hsa-miR-652-3p,hsa-miR-654-3p,hsa-miR-660-5p,hsa-miR-664a-5p,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-941,hsa-miR-942-5p,hsa-miR-1180-3p,hsa-miR-1246,hsa-miR-1285-3p,hsa-miR-1301-3p,hsa-miR-1307-3p,hsa-miR-1307-5p,hsa-miR-1908-5p,hsa-miR-2110,hsa-miR-3158-3p,hsa-miR-3613-5p,hsa-miR-3615,hsa-miR-4433b-3p,hsa-miR-4443,hsa-miR-4732-5p,hsa-miR-6842-3p,hsa-miR-7706
33,Cancer,1.902929129,3.856375676,0.90162359,3.819833472,2.535110979,2.3377412,2.864503792,2.053849571,3.719161933,3.383550162,3.912791364,1.913574017,2.487588903,2.805571053,3.074541046,1.531566818,1.538481138,2.874109509,2.250417797,1.71108802,1.505320116,1.524405471,2.203251743,1.380695623,4.020274562,2.971920878,1.538686958,2.433216111,1.692587125,1.50815503,3.329903054,3.448273543,3.708608061,2.740375744,3.395304678,2.832912559,2.079163052,1.081256345,2.571035316,1.640162378,2.387015415,2.13803141,3.463052507,2.426565373,2.55488582,2.00624663,3.469615025,0.735425544,2.067361029,2.015121648,3.030799868,1.979776759,2.509475418,3.460826561,2.78867412,2.272761275,1.619356933,1.806849368,4.108292317,0.998864121,1.092442996,3.384545663,1.830648845,2.424032676,1.151227856,0.016080881,1.798632025,0.729376744,1.179885883,3.017317306,1.502704038,2.037620405,3.17290844,3.228629148,2.210716022,1.400011954,2.118705771,3.134975152,2.804588374,4.66364209,1.624600354,3.079405103,0.796445596,3.042717358,1.920159662,1.64090225,1.388275585,2.996757027,2.196553068,1.585818627,2.439106957,2.184041351,0.844205552,3.140004931,2.336408471,3.029001402,2.669064294,1.822491818,1.815791951,0.748672156,2.268114741,2.024038381,2.250828991,1.324843922,2.173477528,1.831280427,1.609205123,2.433855773,2.212865324,2.416911559,3.003892307,1.115892984,3.947190469,2.59447051,1.929219426,1.551583609,0.289540739,0.771046655,1.025873194,1.372846261,0.467739208,1.678550581,1.959232113,1.326069575,0.94947352,2.647940096,1.670977168,1.127410316,1.946234259,1.501388373,2.455064729,1.470954114,1.059006224,1.166116862,2.877825738,1.589417641,1.317111135,1.510303344,1.398622866,1.493170565,0.893630786,3.063759505,4.120236484,1.425067559,1.617737314,1.906529888,1.578575233,1.507092659,1.912187928,4.444162083,1.024916499,2.217437796,1.763534066,4.33309833,1.095477731,1.462929235,1.792636817,1.47504427,1.082809459,2.386147159,0.770335361,1.033519905,1.588711781,1.808004631,2.275771684,1.502144192,1.594874359,2.983936397,1.92229247,1.062914423,1.67864624,1.712567317,2.166304201,1.202233825,1.73973798,0.939457279,1.376175727,2.822560378,1.169094147,1.327326295,1.867392039,1.562369254,0.61056159,1.902232195,0.764947758,1.316030698,2.240635582,1.772513283,1.513217158,1.25368751,1.144356653,0.607695184
34,Control,1.792358007,3.605594838,1.296086113,4.621333759,2.594246952,2.767641529,2.57481579,1.372035232,3.318450334,3.402979441,3.910621723,0.890675929,2.528412425,3.098385511,3.393617601,2.178092504,2.023794228,3.710676578,3.244675165,2.030087116,1.57462018,2.099283442,2.627359145,1.851966626,3.355851338,3.496577823,1.315453957,2.125224482,1.139757911,1.348848428,3.107646639,4.438999276,3.094794717,2.532271517,3.006004468,2.561482903,2.122370355,0.73361628,2.362638054,1.396065829,2.279993643,2.166298607,4.107245094,2.058432162,3.148737007,1.036916755,4.459101853,1.809957594,2.711643446,1.650688612,3.130028313,2.028901652,2.812438755,3.522003334,2.301304032,2.978609214,1.920810003,2.099257367,3.73424523,1.824188297,1.635096609,3.010873687,1.766317565,3.084746902,1.354959457,0.905248842,1.742102248,0.727371878,1.438469213,3.659539791,1.974081958,1.178490766,3.466916575,3.14607505,2.056111444,1.845542385,1.751916939,3.117797412,2.914411021,4.192180737,1.434118418,2.831664074,2.078461213,3.448450091,1.428009104,1.275707201,1.953749529,2.978596774,1.937114271,0.968605447,2.681517703,2.884243773,1.450196431,3.06052428,3.135010761,3.211219769,2.823495362,1.889990359,2.253309824,1.342600194,1.711089716,1.584283094,1.648266201,1.165327549,0.714808911,0.59751575,1.207524124,2.217289457,2.406296115,2.292727577,3.005336575,0.774613573,3.863415333,2.651687985,1.860679057,1.178288033,0.901727888,1.008139653,1.582590546,1.224431385,0.689850768,0.971892367,1.533793316,1.772195177,0.594695742,1.778186394,2.100731478,1.605423851,2.66635829,1.224402369,3.178533587,1.100911116,1.136572045,1.952745063,2.797840243,1.272901709,0.223605049,1.282058294,1.474273401,2.030911951,1.223376407,3.127059959,4.568465898,1.82337488,1.821569607,2.750347783,1.756557431,1.559280949,1.056065913,5.305772673,1.186149699,2.731361291,2.768555588,5.201497238,0.031775013,1.365195981,2.593204534,1.64683963,1.520935003,3.344081216,1.231186023,1.597361237,2.207128098,1.086835587,2.728610733,1.639812894,1.77049988,2.779211474,2.084484307,1.521222036,1.814596256,1.353495278,2.34242549,1.438386388,2.474007988,1.757352631,2.412039721,2.385452124,1.531420806,1.305800756,2.35156063,1.36473036,1.148506977,2.280456416,2.473844572,1.776983228,2.809758482,1.406994469,1.182146874,2.244350458,1.312269688,1.698029627
35,Control,1.83236791,3.967446941,1.275470426,3.873067652,2.453689465,2.741248006,3.045653796,1.677923349,3.911629211,3.688301971,4.137534509,1.669609145,2.680453665,2.911431463,3.3007456,1.360228727,1.873019376,3.125798206,2.48924866,2.092012987,1.445953944,1.75353382,2.494444788,1.289323426,3.960054965,3.73758887,1.695016079,1.923115661,1.300116069,1.329267549,3.296343962,3.631142897,3.815633968,2.930271869,3.058790651,2.63342064,2.209643038,1.269904889,2.15853945,1.60904024,2.314885344,2.494718244,3.689859015,2.358527117,2.793072307,1.817002809,3.950492238,1.457613785,2.401126358,2.220304433,2.872394849,2.229377182,2.912010745,3.436193152,3.045880638,2.405702879,2.005247244,2.490699827,3.334647732,1.910158043,1.716274363,3.454478382,2.063398207,2.830806599,1.305544416,1.000502481,2.569639668,1.072748552,1.526931405,3.137009535,1.725860113,2.039849587,2.986882991,2.9279429,2.449394933,2.020951183,1.663017917,3.161953805,2.791130116,3.892233332,1.186657454,2.770255131,1.409828191,3.198459008,1.900967708,1.75026826,1.551363108,2.959292777,2.172884366,1.395994241,2.514584197,2.322820014,1.279527627,3.217689782,2.446025726,3.174670958,2.589967049,1.647169482,1.829276717,0.749501905,2.035709732,2.219078777,1.963929912,0.667998575,0.908582032,1.492483237,1.575599257,2.559748781,2.099557759,2.032976509,2.676207929,1.283254165,4.252578198,2.893087008,2.083250176,1.519819934,1.514782737,1.905915477,1.728723185,1.485120078,1.222189993,1.616484455,1.71947565,1.32691696,1.110653676,2.490110097,1.45829097,1.299490523,2.123253589,1.534377735,2.639256137,1.805710221,1.282980215,1.781981057,3.029389105,1.752827288,1.883759424,1.805363576,2.025125585,2.495035867,1.152143036,3.144645935,4.078706404,1.241375653,1.433751384,2.293082194,2.016080073,1.134427204,1.618424167,4.418738827,0.462191859,2.965550727,2.26266681,5.015249776,1.757287769,1.463323773,2.706140946,1.880196953,1.043134715,2.837513237,1.990422402,1.25091049,1.449802026,1.96504225,2.72526625,1.345289781,1.972429216,3.340628178,2.100412479,1.646715678,1.564164753,1.466562189,2.259268804,1.081676377,1.713934202,1.498320858,2.267833912,3.009126522,1.556223004,1.513980361,2.152345645,1.659092048,0.850985042,2.209934652,1.256135735,1.49572152,2.631854663,0.882063136,0.89967986,1.852578266,1.22436083,0.899862212
36,Cancer,1.64306498,3.433404166,0.790251755,3.771457957,2.149611793,2.297432668,2.513803982,1.902506931,3.386101805,3.190791964,3.640328344,1.130857173,2.162644796,2.972050757,3.432722923,1.236584897,1.408506917,2.898784412,2.188646267,1.616193939,1.189083436,1.588720677,2.000313323,0.951301238,3.625661661,3.080322285,1.451442778,2.370288858,1.529190057,1.480989929,3.350056049,3.62829412,3.750532653,2.331403752,3.182725301,2.579010216,2.241658155,1.081256345,2.716832201,1.468528651,2.242286928,2.515018005,3.646680652,2.216342137,2.482245944,1.141630034,3.559614102,1.070199587,2.13217485,1.80576425,3.260879471,2.36904094,2.647379707,2.886378635,2.353403603,2.233407563,1.375983514,1.647249384,3.74926936,1.755427624,1.595849443,3.515267824,1.886697983,2.670178078,1.281351165,0.780932063,1.876081148,1.167503976,1.612267427,2.959339542,1.574354002,1.836696704,3.082799683,2.898763984,1.712510089,1.128068729,1.954734645,3.157419279,2.956999803,4.281364622,1.49815695,2.634127172,1.910269516,3.459575215,1.84155258,1.557091063,1.668775833,3.087645219,2.246023462,1.416199842,1.97933486,1.899602166,0.920948535,2.556640579,2.40811287,3.131443587,2.45577268,1.947797425,1.673021527,0.988092567,1.861009362,2.163015908,1.798481532,1.169676239,1.38367413,2.051788454,1.723479306,2.488391394,2.32997008,2.32726134,3.078801278,1.283349614,3.879449458,2.697329161,2.114497185,1.660850876,0.775375212,0.884287269,1.371742622,1.649121714,1.105592133,1.171896538,1.861988901,1.65969098,1.227878525,2.094453865,2.176269191,1.459691744,2.512106562,1.532241981,2.438063159,1.608778715,0.786304549,2.078591721,2.713400393,1.135853816,1.29838333,1.569774459,1.415532305,1.826973372,0.95936203,3.021621055,4.232514132,1.617873999,1.520168636,2.187279606,1.644518287,1.351042811,1.154614328,4.623378238,1.679743305,2.322131057,1.908190894,4.326018772,0.745900123,1.050940835,2.154063707,1.377204104,0.74983752,2.619013329,1.407929504,1.277113726,1.81243613,1.309576138,2.258574991,1.225423645,1.997285738,2.627651555,1.825745737,1.457103434,1.139169283,1.498625887,2.358882536,1.125476964,2.058026959,1.19038736,1.63456411,3.133140134,0.933207268,1.327326295,2.250319583,1.562369254,0.908083525,1.756636576,1.324052039,1.204888601,2.518794811,1.587136955,1.179977654,1.4712262,1.199187523,0.987049184
37,Cancer,1.534125748,3.64792405,1.255488145,4.179181451,2.550389537,2.650907109,2.49196061,1.837810338,3.647281681,3.395973533,3.845889662,1.30523095,2.612694354,3.440459854,3.809683407,1.531566818,1.556780849,3.245973303,2.758744324,2.059998323,1.646907269,2.01971827,2.548098095,1.520110555,3.894209259,3.474934526,1.624174399,1.947898964,1.13941217,1.288734386,3.056567641,3.946077605,3.680990783,2.644099967,3.04330588,2.85304405,2.252756079,0.907682953,2.543363843,1.815508196,2.596976544,2.308104524,3.813932546,2.252062078,3.027935739,1.443408513,4.063880851,1.734619319,2.425875628,2.019292589,3.296056014,2.442734834,2.613309353,3.483080739,2.259549067,2.618764894,1.740567656,1.777302838,4.480591129,2.299121427,1.92046986,3.510424978,2.058354377,3.011636541,1.017622842,1.249898419,1.941977272,1.55389022,1.969751931,3.071727495,1.819062288,1.68889244,3.111721727,3.270806247,2.413093401,1.875284071,1.820587148,3.108286577,2.987658902,4.200604791,1.294610337,2.849321794,1.797250505,3.452434528,1.702436295,1.631260649,1.550945655,2.762623254,1.897824565,0.867271077,2.655430448,2.798620715,1.212708783,2.810177342,2.769297138,2.884850022,2.965203738,1.713427743,2.192583432,1.392161558,1.954305899,2.166509281,1.896133859,1.630408627,1.847906111,1.841413281,1.993256614,2.31282414,2.228173743,1.944874946,2.834336488,1.207517594,3.475250404,2.376650412,1.788409672,1.243467583,0.95468226,1.326242429,1.688305361,1.170640401,1.247150056,1.085410408,1.572556305,1.474000001,0.897913826,2.235356585,1.740560418,1.375122624,2.293714882,1.327979658,2.671401135,1.799225125,1.134164181,2.470892365,2.818425541,1.338641004,1.775389365,1.855638068,1.644406174,2.468568241,1.111451449,2.933417235,4.231089383,1.652320199,1.413800306,2.297602404,1.877907666,1.444758991,1.02265487,4.781202165,1.42898461,2.261350249,2.44557509,4.661457906,1.360540168,1.050940835,2.117550492,1.39859678,1.335280874,3.083724412,1.606602214,1.118478521,1.85199707,1.201186453,2.49522778,1.134018478,1.733869894,2.648911812,1.414290182,1.557576166,1.501513214,1.156780024,2.288366062,1.348869961,2.166824396,1.19038736,1.890182127,1.662732734,1.19817573,1.348074234,2.384599171,1.534862179,1.044774509,1.814731346,1.819370042,1.290752777,2.427238033,2.22556051,1.333134546,1.64903243,1.08166772,1.274019407
38,Control,1.800670878,4.365545636,1.181827248,4.658175788,3.197225244,2.442323956,2.910564172,1.657393913,4.277015648,3.973785799,4.426362939,0.97311096,2.974476749,3.201162498,3.547526043,1.861827701,2.162370909,3.462820289,3.190373417,2.408270422,1.830140912,2.174371636,2.731117206,1.870210394,3.744641334,3.482586015,1.488185578,1.805917734,1.030164213,1.127409011,2.921914485,4.320654349,3.652999382,3.236950107,2.947559012,2.630147633,2.228533875,0.973179214,2.464775001,1.632421934,2.363440006,2.676361703,3.972502351,2.398049873,3.100255856,1.659826871,4.376621705,1.734690298,2.74421361,2.166332513,2.94026722,2.235594769,2.371062131,3.670101716,2.823064421,2.960002497,2.206439331,2.099257367,3.613591268,1.914712899,1.431902845,3.567268025,1.99286993,2.910438219,0.723934409,0.848248087,1.834948578,1.036994225,1.710104172,3.439900272,1.737298199,1.959458399,3.47610146,2.935778328,2.798441931,2.886628466,1.449114662,3.273901768,3.055857824,4.068959246,1.155028883,2.784412523,2.220028849,3.610438748,1.31476148,1.621583861,1.948877735,2.926113873,1.905190878,0.72271583,3.670350172,3.526911601,1.450196431,2.987481687,3.120300271,3.330066063,2.958994828,1.367807263,2.222780365,1.04605105,1.760740145,1.93974292,1.636150537,1.50001235,0.853529702,1.222772141,1.825335625,2.363717267,2.297222899,2.032976509,2.63143466,1.08047725,3.577108064,2.383272234,1.615204933,1.046803481,0.953814561,1.215201874,1.406603631,1.110564662,0.991368043,0.971892367,1.173536973,1.525374209,1.075614865,2.012851677,2.144608206,1.460895843,2.605646473,1.085701109,3.283344664,1.519698778,1.906676739,2.153242904,2.633563412,1.101451033,1.236827667,1.569036725,1.588477099,2.228705961,1.223376407,3.017661028,4.372367928,1.443640666,1.592339638,2.640048019,1.782839111,1.168043666,1.056065913,5.285435984,1.024103056,2.565718325,2.656085001,4.919539801,1.005956436,1.265903026,2.249811042,1.524634146,1.559945006,3.261464026,1.484944796,1.190325412,1.839976196,1.26793393,2.552161395,1.277430931,1.703709775,2.590979735,2.044866253,1.451814071,1.564164753,1.199784808,2.246723184,1.202789719,2.403583504,1.564700032,2.152032774,1.108539237,1.251831833,1.232721708,2.337014829,1.296908702,0.706559912,2.006832229,2.332356392,1.424811073,2.626247533,1.318616126,0.78806148,1.819616177,0.966866062,1.705489478
39,Cancer,0.967445072,3.678675314,0.90162359,3.572033672,2.256038767,2.461580767,2.510749356,1.66349828,3.42894592,3.016041018,3.453722143,1.30523095,1.991123855,3.189249217,3.36913673,0.769049615,0.488324872,2.468080095,1.720687974,1.495968905,0.161014664,0.989970442,1.675022258,0.647850351,3.245941791,2.755283454,0.89793706,1.611457653,0.962596135,0.726815099,2.744967867,3.159367228,3.361313268,1.986850605,2.4737662,2.151349043,2.176644662,0.73410956,1.93171015,1.468528651,2.031582491,2.083418216,3.410456584,2.051104207,2.092527881,0.294430733,3.435891464,1.113695273,1.670906963,1.628880132,2.736956097,2.32105196,2.268840642,2.309077961,2.378174257,2.070785418,0.773092731,1.24080107,3.145161453,2.033918548,1.400015201,3.00532535,1.502168666,2.630583481,0.145207832,1.142619434,2.174672205,1.220116553,1.577899436,2.501240881,1.33843759,1.180352466,2.320965592,2.484692982,1.343300902,1.400011954,1.380074605,2.852504914,2.450788808,3.72598658,0.94851311,2.291534674,1.465078619,3.165899053,1.55148169,1.453393177,1.330703644,2.305532106,1.615951155,0.923131451,2.293252486,2.118349535,0.750279731,2.495502327,1.971361484,2.792688923,1.994577981,1.313352555,0.967725736,1.0452213,1.576556256,1.633301112,1.395888734,-0.015800907,1.097903374,1.391812484,1.316665327,2.160439074,1.810907548,1.634321226,2.619382481,0.774709022,3.48161518,2.144455733,1.513201897,1.10635474,1.285119595,1.609489324,1.938574266,1.271743331,1.167840639,0.883186269,1.475313093,1.0027149,0.771980581,1.609545644,1.330024096,0.83529568,1.920045058,0.993825435,1.911039924,1.567374001,0.292036748,1.771221754,2.472977569,0.930557129,1.352332887,1.360448106,1.634337279,2.303578412,0.598066565,2.96428991,3.628765029,1.066626978,1.055183177,1.864226247,1.908030969,0.55428737,0.469857986,3.832532484,0.587421444,2.193691324,1.856208823,4.096298285,1.134055885,0.804046397,1.601274936,0.849306707,0.655602189,2.29471265,1.606602214,0.690193699,1.208381765,0.592911104,2.372860944,1.060479406,1.84566546,2.381239754,1.225942649,1.145006622,0.268099625,1.353621854,2.117868443,1.031534158,1.714489225,0.652505946,1.195239609,2.631165809,0.641034801,1.305513903,1.978016208,1.152511697,0.706342259,1.620320927,1.095157146,0.037783438,2.344310118,1.751458051,0.986636196,0.985840057,1.008485466,0.700078961
40,Control,1.642630769,3.884184728,1.315785238,4.308007906,2.622499507,2.667050371,2.823695897,2.186604584,3.67814485,3.410070651,3.892538675,1.653165846,2.302079424,3.404937959,3.629577145,1.455191695,1.719656885,3.261701057,2.456971281,1.798949382,1.103603368,1.450656224,2.224180967,1.174463739,3.735559178,3.398862291,1.226997802,1.782918984,1.08839485,1.127409011,2.888643733,3.77539728,3.657182451,2.459353313,2.912295585,2.511236054,2.39243086,0.973179214,2.29302615,1.745298929,2.287201479,2.458155289,3.774751328,2.221710163,2.575993484,1.274867847,4.114748278,1.567303276,2.048709825,1.881859572,3.097529909,2.471422736,2.447475371,3.147285845,2.464269852,2.33631227,1.514484735,2.053601235,3.904933541,2.105137704,1.534423931,3.423906472,1.956021343,2.895769051,1.354959457,1.000502481,2.680773748,1.307749405,1.938805408,3.003272254,1.392300449,1.504301016,3.137177775,2.694115837,1.917573049,1.903309578,1.575496327,3.213959744,2.819876767,3.949324677,1.186657454,2.632547192,2.019100239,3.407402644,1.64573247,1.601176685,1.824843867,2.872430978,1.882456456,1.012681059,2.557996378,2.501512979,1.093550915,2.645740315,2.468372732,3.019645455,2.5170395,1.459340195,1.860847018,1.141518551,1.666796221,2.019342348,1.540181491,1.005119683,1.108747219,1.332268096,1.282414123,2.36624314,2.307404625,1.856562088,2.585102505,1.148499013,3.941905269,2.706254929,1.962167579,1.32958525,1.405614893,2.026492151,1.59274256,1.408141424,1.469261617,1.047833101,1.47560198,1.474847386,0.995803339,1.944053226,2.204206117,1.270414697,2.408970799,1.374872728,2.729568814,1.923960466,0.971131952,1.896834496,2.570339319,1.135297043,1.631139546,1.925225889,2.152962702,2.82699861,0.720787265,2.965233878,4.512295495,1.46120832,1.271650678,2.358935708,2.15763177,0.766746463,1.056065913,4.924157656,1.096350258,2.577204659,2.540943988,4.872803592,1.458925003,0.710711518,2.302334159,1.250965643,0.948899384,2.712722051,2.209912497,1.190325412,1.937753947,1.086835587,2.685218913,1.40407179,1.790720545,2.767424847,1.835543533,1.816943933,1.233883152,1.564931153,2.329962729,1.081676377,1.705186728,1.440461753,2.019940251,2.634739344,1.275925006,1.513980361,2.192648036,1.536083128,0.706559912,2.047847506,1.795494739,1.172491488,2.662522154,2.279703989,1.095914739,2.079260106,1.22436083,1.23559585
41,Cancer,1.921870067,4.056743286,1.317424677,4.026026922,2.824999603,2.749650325,2.992822322,2.271813294,3.95670631,3.523492765,4.055015164,1.528903347,2.626214841,3.622234374,3.632176092,1.359013456,1.77642479,3.237425569,2.710468312,1.993067609,1.773583999,2.005329845,2.455890681,1.432259515,4.216568789,3.487745906,1.649240957,2.022123668,1.264865144,1.494791591,3.23329794,3.846067579,4.041576708,2.832061457,3.190577219,3.023382907,2.377027246,1.35351338,2.530916335,1.871386585,2.660623077,2.559711376,3.902026355,2.454244113,3.002763965,1.609446153,3.979181784,2.118357037,2.340592359,2.434783858,3.456549314,2.574273986,2.714950722,3.354818397,2.663186689,2.524488903,1.763462088,1.977307685,4.561172507,2.308163698,1.915920408,3.619366219,2.264438466,3.156763945,1.333862477,1.406869675,2.151817348,1.309754271,1.783600554,2.959339542,1.887833698,2.123032064,3.118753574,3.263087169,2.413093401,1.865562058,1.866068209,3.276532562,3.147551959,4.328566041,1.553303276,2.884455167,1.661494022,3.466599755,1.920159662,1.872552315,1.639698585,2.95696302,2.075375059,1.346315873,2.471115929,2.492177374,1.212708783,3.042692954,2.793889065,3.182937412,2.980308009,1.974254954,2.281643309,1.437237946,2.195770449,2.479722438,2.109055509,2.532949126,2.735423259,1.764971506,1.680201654,2.538482982,2.384027985,2.189625659,3.022229748,1.79076616,3.774416662,2.635276058,2.078253856,1.489970377,1.307802803,1.049981618,1.925198914,1.769507754,1.510817602,1.243475757,1.745082758,1.524526824,1.446312631,2.481184694,1.836100388,1.440086706,2.43086997,1.303800801,2.69348087,2.024732444,1.428366969,2.329787895,2.762420471,1.338641004,1.794386718,1.825328976,1.795161537,2.678872224,1.284345435,3.205397165,4.086806649,1.723361901,1.535561168,2.413045139,2.184904153,1.5738969,1.420168916,4.869020391,1.261284582,2.470497317,2.413558459,4.551543084,1.540310857,1.171779071,2.012867423,1.25106619,1.241045542,2.928414979,1.970173325,1.189204761,1.910555367,1.309576138,2.587120329,1.197013067,2.322211733,2.65056797,1.714191727,1.787580778,1.454921244,1.444001741,2.522013085,1.527744588,2.131207586,1.394264384,1.837611487,2.420186298,1.067440537,1.708386302,2.533264659,1.363509411,1.279369333,1.96242868,1.515344454,1.384202788,2.481830112,2.091714188,1.273828131,1.66572677,1.172629379,1.33188232
42,Control,1.775221495,4.088067532,0.639502171,3.986986968,2.655536493,2.129204487,3.062950062,1.422524893,3.913456416,3.665273964,3.96924386,1.247169739,2.655251134,2.188161066,2.551638752,1.750173616,2.101178019,3.016630152,3.001029753,2.081365937,1.863784674,2.254510878,2.492406634,1.455459084,3.661334019,3.247868919,1.597215394,2.22593459,1.030164213,1.600485785,3.475875747,3.773490562,3.459598892,3.007927284,3.45199545,2.574122239,2.092310358,0.907189672,2.376864587,1.200602151,1.832067182,2.087483291,3.510757849,2.14628406,3.007606495,1.427857462,3.531689937,0.827616248,2.528311435,1.924991602,2.479823572,1.508041148,2.217754557,3.347108871,2.874431571,2.657073524,1.844614836,2.122665095,3.187220522,0.665256649,0.477195053,3.147963383,1.640950898,2.261399864,0.95871726,0.017594361,1.065016751,0.417749533,1.042627254,3.500659913,1.895883731,1.755576251,3.541944954,3.627907997,2.415532662,2.26598028,2.073809458,3.312650273,2.708302864,4.573732293,1.634711452,2.88078753,1.46218828,2.916935302,1.455516619,1.423309213,1.287970203,2.855933852,1.942203898,1.412401496,2.69440597,2.349896436,1.308568179,3.421078162,2.900794668,3.028688242,2.536493058,2.077290124,1.995744623,1.182295103,2.306612748,1.772042929,2.18705151,0.745953894,0.504205697,1.155609756,1.227565064,2.404763553,2.230699858,2.965804002,3.306399076,0.595694793,3.637649023,2.334972124,1.523453613,1.104296507,-0.017854386,0.200784715,1.028311425,1.171065694,-0.010250663,1.16765869,2.051606901,1.300910078,0.468762498,2.304928143,1.890155267,1.531297837,2.265703551,1.615911921,2.626853663,0.747498988,1.465399754,1.167008933,2.742630061,1.42839391,0.707035095,0.642912141,0.556810842,0.929075605,1.407066136,2.934440077,3.842688868,1.714160999,1.858396999,2.195130657,0.913679433,1.898440234,1.774877469,5.09354778,-0.012933694,2.2289946,2.099508591,4.418049613,0.339095036,1.512797464,1.855189091,1.583182706,1.314194817,2.886353126,-0.034611417,1.393363853,1.377432171,1.644643519,1.967614001,1.557400284,1.264152397,2.793651352,2.115775032,0.332958705,1.721122325,1.537703958,2.143991482,1.438386388,2.175504544,1.109892927,1.670104318,2.784005268,1.138754333,1.073383914,1.978376768,1.271760721,0.487296484,1.901416556,1.607231663,1.291129412,2.161767842,0.458789552,0.539514636,1.536041563,1.24804634,0.780758808
