hsa.miR.192.5p,hsa.let.7g.5p,hsa.let.7a.5p,hsa.miR.194.5p,hsa.miR.122.5p,hsa.miR.340.5p,hsa.miR.26b.5p,Class
38529.5623585265,2467.50982150435,155354.791063409,25430.3398934268,0.984190846793354,74.0632366128266,3597.10318585392,Case
93557.743400001,2442.40531596821,177102.538109966,50444.1226572758,0,56.3913538139314,3472.60616399813,Case
36900.0450865114,2433.35698373616,148909.296755606,23161.7376446743,1.62455655494705,71.5017737802118,3835.95959499525,Case
13145.4942033589,1117.74016586482,152777.021833911,7671.37828503572,0,31.5671877323184,1454.03053006623,Case
36072.1734071129,1140.26902518608,146349.970512693,17028.7550528033,0,29.5769916046411,1268.1734859033,Case
29637.8996397257,1105.08707549982,104645.058086582,15587.1899450403,0.995417078956962,17.0824925787747,1020.04305957258,Case
66310.0046807667,2485.97133709677,131282.772436426,41670.4567323765,0,61.5933232430834,3838.87000409002,Case
69303.5424981453,2481.94118713588,127258.595733513,43180.8993641473,0,59.6502152262256,3910.98090160452,Case
79285.0491383998,2468.50325147249,113840.577010484,48217.2456802754,0,53.1712105313782,4151.42396472441,Case
13389.8316820054,1313.7064521797,141751.223139687,7866.75530317891,0,38.7442062930204,1954.74308231194,Case
13813.7825464876,1235.02448465675,146635.716860387,8203.22424324416,0,37.1912727234885,1841.20638356172,Case
12965.0695565445,1993.80252523138,96661.6283163729,5686.96486390475,0,54.8754433230497,2654.41901965626,Case
25022.0889677354,2909.55667027924,166870.63306981,17098.7184012984,0.943236489780247,119.502405550331,4144.93939508684,Case
26257.5162161621,2879.49973801803,166746.43899014,18010.578771194,0.870459414087236,116.300214219838,4074.34563166462,Case
19191.3439780616,3051.4139163536,167456.781714909,12795.0855570158,1.28671650448814,134.615526197478,4478.1150093535,Case
152045.229365675,2305.24226438627,203204.707250724,95276.0725330268,0,31.7575472118333,2323.86732904287,Case
63110.0350112449,2476.26439212216,173068.24867429,42535.9495721301,0,68.7925036046654,3021.06065872125,Case
79086.5534773748,2444.61275057821,178718.387050631,52392.0400891816,0,62.1290001217276,2869.85038737766,Case
89551.4935751634,2450.5986739432,148949.579828654,50446.2970394248,0,53.9133317514788,3792.0869055267,Case
90126.4670295383,2447.47442925978,176328.952922078,49037.7966318166,0,57.8030056166463,3456.75716421311,Case
79919.647012369,2462.55322835012,174027.813658366,44854.479674055,0,62.0021648569964,3409.61205819645,Case
21353.9051814554,1129.21408707649,151227.501331129,11354.3474456342,0,33.261970974505,1548.69254043419,Case
26391.7727548496,1929.5327497106,118681.81546014,15197.7375405733,0,43.6437530030962,1763.07757034595,Case
44061.3782781211,1191.0229240912,143608.508719613,20399.7963268221,0,27.9476414998062,1115.78103729105,Case
19155.1794349607,1918.46310640825,96214.6144313556,7309.83175233193,0,58.2238619374111,2042.77455276623,Case
17866.6502372031,1558.48741248087,121421.225530999,8123.28762782365,0,48.4204606171697,1804.02088899072,Case
16320.0342323571,1363.97128496948,135795.141223819,8371.62739422172,0,42.4122404623777,1748.9455375718,Case
17848.6718640067,2672.19315619208,153128.235828931,9127.24965977995,5.56804229971021,103.984197398648,2507.08250808762,Case
25503.7609508,2621.94361207448,157134.104974014,15661.2223933642,3.72964434418827,95.4050069395453,2745.76784264622,Case
15345.6189322593,2666.59853430931,167137.128784701,9184.61240343098,6.75658546481282,87.0853633796796,2621.23172958288,Case
18108.9035923048,2265.66889955383,107907.13468335,11127.9779192447,3.76688995538279,43.4935537134297,2221.16605497291,Case
14123.5997592767,2225.98111346411,102003.745471452,6531.86537860241,6.91984188114293,39.1603162377141,2743.48215653631,Case
17717.4157106832,2288.17996436218,107004.236338492,10019.4103004553,6.0179964362178,39.6052788828965,2337.20036175777,Case
36257.3868709011,1133.45667175669,144755.593909664,16421.4045105055,0,24.6201826510951,935.821562812664,Case
8529.20823715814,1107.23591496935,149814.453837758,4000.70832316857,0,18.5313995764591,584.325125589501,Case
10154.647731483,1102.95760198915,151003.591025731,5294.24664244941,0,23.460620445665,918.043375348672,Case
15332.5146777802,2666.27479869919,167415.259900175,9214.24124948727,6.77066092612222,86.7334768469445,2624.3987083775,Case
29548.6920378555,2423.41248819022,142835.031194126,16478.9000048824,3.84269087295979,69.1600907735992,3996.54454238457,Case
21839.1366484589,2550.35172412964,158389.093984549,12855.4384926185,5.52959101833403,75.4859663187526,3290.99855658179,Case
22289.5309408461,1704.52252893802,171056.584837072,12847.1104188319,0.532589476089925,47.7821474261582,2123.04926515464,Case
26300.5068917254,2000.1052337219,179981.555460785,14969.8823574083,0.803766269469634,54.2903904672712,2348.1260036598,Case
26032.5666639323,1942.51473322045,170276.867352321,15702.6342840886,0.556396622909233,49.2407257040031,2077.59950058232,Case
21152.1210705685,1773.87977212155,138860.369918011,14224.9390257634,0,40.569388238946,1669.36218475387,Case
15676.4583191569,2164.02331073582,105250.851687824,10248.9961697261,0,50.9996357697528,2350.2155655534,Case
19620.3416153146,2065.15982649243,119975.557958432,13428.3392604552,0,46.6183350549545,1898.75686016097,Case
19604.8903772393,1827.71275964472,103792.620208536,7099.31170155946,1.98368800338358,43.0815599830821,2850.60382535029,Case
20298.3043012798,2160.13053340628,109875.858591233,12760.1761166505,0.473287772620097,47.9175338004716,2083.88919026894,Case
24118.8203951977,2006.33200160973,108715.307517668,8794.414847726,8.59370255097747,29.7968512754887,2607.63568554446,Case
33761.4459021017,2367.57549703121,136494.685677215,18792.2023902982,2.85795943066478,66.5681622773409,4296.01886763796,Case
30446.6996866963,2257.26427311357,171216.013484865,17034.3575271335,1.59266127552837,61.0743144643493,3055.65571221057,Case
62508.8169553084,2421.49333665147,119856.633538341,36982.9743420482,1.22615375043824,57.1307687521912,4279.81999626709,Case
