fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
NFKBIL2,519.7068,176.1103,468.8651,235.2264,108.1246,299.6644,894.1402,329.6441,309.2949,608.9144,47.958,45.9747,36.0996,31.7993,97.9969,189.5276,91.5707,102.0408,89.1986,75.6528
NFKBIZ,2142.5918,1626.2034,1508.0826,1455.6872,748.3201,209.396,1208.3666,430.5774,940.8643,538.487,1367.5534,1748.8616,474.1437,794.9815,2334.0524,1891.8611,882.9697,9657.7978,969.6864,1386.6974
NFRKB,296.0119,942.6893,603.4983,978.0361,1006.1087,714.4295,414.4978,574.9981,802.8810000000001,534.5113,408.01800000000003,418.8803,286.1026,406.6451,667.7966,615.2533,719.2811,545.7997,607.3171,557.6037
NFS1,874.4219,574.3708,524.2477,623.6266,548.5644,572.1477,539.0388,697.1382,682.3351,801.5461,348.0704,336.4178,289.3354,347.8646,343.6055,321.0017,296.0629,328.42900000000003,343.55400000000003,296.0829
NFU1,884.1958,355.7622,737.1301,491.5307,445.3268,783.8926,486.0291,1112.1461,689.1585,826.2838,790.1836,720.2697,1061.4353,780.5273,481.0478,457.029,448.3645,373.9915,443.9024,384.0246
NFX1,1231.172,1070.5061,735.8037,1082.3727,1836.2859,1844.9664,1139.3901,702.507,2130.4018,1048.0398,891.3451,892.1274,508.6269,932.7783,928.8136,1060.8993,1047.6073,945.8946,986.7596,1036.4823
NFXL1,260.1379,374.2811,345.3934,162.5091,193.03599999999997,259.5805,275.6954,449.6367,404.7005,92.3247,128.5126,102.8957,105.0659,158.9963,183.359,145.1338,153.2505,100.617,130.9373,149.7273
NFYA,1059.4293,2135.5389999999998,1163.558,938.0699,820.4032,1504.0268,886.4761,548.9594,1036.3912,517.9459,569.127,683.7819,570.05,534.8057,738.9831,639.1577,695.0836,700.9967,523.6934,664.7465
NFYB,519.068,441.4027,498.0519,706.9045,621.2584,353.3557,749.8004,445.6101,655.0417,695.3065,982.0157,613.3604,949.9038,664.8936,1101.0786,638.0194,835.9982,625.5339,596.8641,433.1797
NFYC,847.3968,1006.0761,566.5788,1260.1134,1124.0745,1347.604,694.5745,732.6017,1291.3343,1588.9718,987.1,999.6059,927.1987,846.9877,1030.7088,1092.288,997.7084,962.8571,924.5157,871.9777
NGB,0.0,2.8976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGDN,474.736,524.1455,597.5296,415.6713,420.281,657.3826,1199.4252,443.731,227.445,628.3821,561.6336,557.1691,492.4629,546.3691,443.4515,450.7684,398.0718,326.5306,406.9686,427.4194
NGEF,219.2163,263.6826,2601.0114,379.5364,53.7569,614.4295,26.1855,186.2972,819.5603,969.1883,16.4856,56.1913,11.8536,1.9272,29.584,11.9522,6.167999999999999,8.0683,4.1812,1.1521
NGF,22.6896,6.1172,7.9582,6.4612,29.3219,13.0872,2.5547,1.8791,0.7582,2.8713,39.3406,11.3112,7.5432,6.7453,7.396,8.5373,18.0295,15.1875,12.1951,4.6083
NGFR,26.1803,36.3811,24.5378,7.1791,29.9328,38.5906,5.747999999999999,9.6638,62.9265,24.296,79.0558,82.0976,79.7423,41.4354,125.1156,264.0865,114.3448,66.9198,116.0279,116.3594
NGFRAP1,2008.5522,265.6143,1601.9232,492.4879,1394.0134,3020.1342,2370.1102,148.4472,1475.3601,6838.2109,2225.5526,1570.4361,2428.37,2369.5267,2120.1849,1674.4451,2007.914,1962.5059,2351.5679,1233.4869
NGLY1,513.8319,419.5096,631.6837,657.1292,558.9493,477.5168,368.5135,388.9693,503.4117,431.8056,421.8809,472.5174,446.6649,603.2223,469.0293,586.2265,464.0217,436.6398,480.1394,452.765
